invoice_id,supplier_name,item_sku,units_received,unit_cost_gbp,total_cost_gbp,invoice_date,payment_status
7c8b2db3-39d4-4ac5-a2da-63df2ea6a738,FreshFarm Ltd,BURGER-01,21,5.09,106.89,2026-02-23,paid
c63a6612-9c19-49a7-814b-47ad9a14bcce,Metro Foods UK,PIZZA-02,57,6.01,342.57,2026-02-23,pending
2ad6f186-663a-4e24-8916-de1c5660321b,Northern Wholesale,WRAP-03,92,3.5,322.0,2026-02-23,pending
4c416e5d-a34c-4901-ab12-ba3cef072bfb,Metro Foods UK,DRINK-04,82,1.8,147.6,2026-02-23,pending
27ffde44-5899-425a-b6a5-4d0b897d9d24,GreenLeaf Supplies,SIDE-05,24,2.14,51.36,2026-02-23,paid
e70002e6-f36a-4c72-968a-d4dc22708fd1,FreshFarm Ltd,BURGER-01,82,5.46,447.72,2026-02-25,paid
95f5b615-6644-4157-97b0-0509c75bfcd7,Metro Foods UK,PIZZA-02,98,5.21,510.58,2026-02-25,paid
7be5cb79-43de-499b-b372-476384b53809,Northern Wholesale,WRAP-03,42,3.29,138.18,2026-02-25,pending
66c2f16e-b4ff-410a-a5b9-66e92cb4de7a,Metro Foods UK,DRINK-04,75,1.76,132.0,2026-02-25,paid
90143e30-33ec-4188-af53-639e5353fe98,GreenLeaf Supplies,SIDE-05,83,1.6,132.8,2026-02-25,paid
bc1d9204-07b5-4734-b02a-883ee87a3e97,FreshFarm Ltd,BURGER-01,21,5.43,114.03,2026-02-27,overdue
184940dc-f25c-4786-8edc-4a6af32104df,Metro Foods UK,PIZZA-02,107,5.98,639.86,2026-02-27,pending
757524c2-db20-47aa-891d-6cee5a37085d,Northern Wholesale,WRAP-03,43,3.79,162.97,2026-02-27,paid
b46ab0c1-3db2-44aa-8018-ead64f1f9ecc,Metro Foods UK,DRINK-04,34,1.76,59.84,2026-02-27,pending
c6788bde-6e87-4e7d-809a-c033343ed8de,GreenLeaf Supplies,SIDE-05,78,2.02,157.56,2026-02-27,paid
60dd8560-c477-4745-82af-564914b98ebe,FreshFarm Ltd,BURGER-01,29,5.17,149.93,2026-03-02,paid
8c39966d-21e1-4b44-a027-958e2f94c620,Metro Foods UK,PIZZA-02,25,6.02,150.5,2026-03-02,paid
4136a22a-b8e3-4b36-b3d2-1f8f15b0a85e,Northern Wholesale,WRAP-03,111,4.34,481.74,2026-03-02,paid
490a7bbf-f0d4-431e-b4a7-0c55ab54573a,Metro Foods UK,DRINK-04,84,1.5,126.0,2026-03-02,paid
10f74e9c-f16a-4a10-b985-8ab3e4974fb1,GreenLeaf Supplies,SIDE-05,47,2.11,99.17,2026-03-02,paid
bcc5308d-65f3-4673-8aa2-fb24bba2f51d,FreshFarm Ltd,BURGER-01,91,5.5,500.5,2026-03-04,paid
d48fe88c-ef49-4e12-bf4f-78b4780ff2ad,Metro Foods UK,PIZZA-02,83,6.74,559.42,2026-03-04,paid
8f85eec3-11fb-4187-95dd-67b2d8ded9e7,Northern Wholesale,WRAP-03,94,4.13,388.22,2026-03-04,paid
0a667854-0f57-414b-9344-55b80363c941,Metro Foods UK,DRINK-04,79,1.75,138.25,2026-03-04,pending
ba877b0d-c47d-4d97-9079-8430961e69cd,GreenLeaf Supplies,SIDE-05,80,2.16,172.8,2026-03-04,paid
01eadfe4-f7e1-448f-ac08-77f7acb5cbbf,FreshFarm Ltd,BURGER-01,86,4.9,421.4,2026-03-06,paid
25bece38-2dec-480c-b6fc-17049aff6ba9,Metro Foods UK,PIZZA-02,72,5.48,394.56,2026-03-06,paid
aa577c7a-7671-4f2e-992d-afe1a79b389f,Northern Wholesale,WRAP-03,56,3.75,210.0,2026-03-06,paid
d025f34c-4648-493b-bf66-0f3a6a85fd2d,Metro Foods UK,DRINK-04,104,1.71,177.84,2026-03-06,paid
4c96fdfe-dcee-4592-bdea-4e3c9f8d33b6,GreenLeaf Supplies,SIDE-05,94,2.14,201.16,2026-03-06,paid
d288f384-c144-4437-91e3-7f0e9d6b83ad,FreshFarm Ltd,BURGER-01,24,5.7,136.8,2026-03-09,paid
3080aa14-bffe-4304-99e4-ddd74bf8994d,Metro Foods UK,PIZZA-02,108,6.24,673.92,2026-03-09,overdue
44c7549e-479c-4436-b90b-0fdc3af3e894,Northern Wholesale,WRAP-03,108,4.21,454.68,2026-03-09,paid
691c88e5-9bc2-474d-b44e-6190ef5d9791,Metro Foods UK,DRINK-04,110,1.43,157.3,2026-03-09,paid
e2ba7551-77b6-4612-9aac-683dd12cdd30,GreenLeaf Supplies,SIDE-05,98,1.83,179.34,2026-03-09,paid
5c826402-124c-4ac4-bc23-8dee3d63d91a,FreshFarm Ltd,BURGER-01,105,5.75,603.75,2026-03-11,paid
f90764f2-de2f-4192-b947-0045fa07b9b6,Metro Foods UK,PIZZA-02,60,5.57,334.2,2026-03-11,paid
253267ca-ea64-49b3-877d-58c804a0cfca,Northern Wholesale,WRAP-03,28,4.36,122.08,2026-03-11,pending
2ee85948-a2a2-4405-b413-4732068988d8,Metro Foods UK,DRINK-04,37,1.45,53.65,2026-03-11,pending
7c0420fe-8172-4bee-9c3d-48d2c0af0fea,GreenLeaf Supplies,SIDE-05,98,1.75,171.5,2026-03-11,pending
6b5e0cb6-f0a5-47d2-a546-0f92efee7568,FreshFarm Ltd,BURGER-01,66,5.32,351.12,2026-03-13,paid
e4465219-16cd-452d-bdad-37fbd2a4813c,Metro Foods UK,PIZZA-02,117,5.55,649.35,2026-03-13,paid
ff792a49-74ab-4017-b96c-94e85e8bd4bb,Northern Wholesale,WRAP-03,35,3.62,126.7,2026-03-13,paid
394ebf7a-ffec-43e8-9287-e902133b452c,Metro Foods UK,DRINK-04,40,1.67,66.8,2026-03-13,paid
21a7baba-cd25-4d9e-8712-4466c0b6e8bd,GreenLeaf Supplies,SIDE-05,42,1.97,82.74,2026-03-13,paid
3961ef15-7637-417f-9a52-be558e52958c,FreshFarm Ltd,BURGER-01,89,4.7,418.3,2026-03-16,paid
70db2385-cfb1-4fc2-92e2-b7483bfd7d7d,Metro Foods UK,PIZZA-02,31,5.41,167.71,2026-03-16,paid
ce26dac5-b2f1-45b0-bc39-ac780a9bbfea,Northern Wholesale,WRAP-03,42,3.96,166.32,2026-03-16,paid
e4c8d417-2608-42f3-bf43-3524605981d9,Metro Foods UK,DRINK-04,118,1.46,172.28,2026-03-16,paid
f11899ff-2629-434c-9491-78b87426d5b7,GreenLeaf Supplies,SIDE-05,96,1.97,189.12,2026-03-16,paid
8a52b785-9485-45c4-9f7d-253a5b7200d6,FreshFarm Ltd,BURGER-01,117,5.47,639.99,2026-03-18,paid
8075893c-d09b-40f1-be2a-e407111824f6,Metro Foods UK,PIZZA-02,20,5.81,116.2,2026-03-18,paid
1dd5fc72-396f-499b-96ae-9a558d7aef62,Northern Wholesale,WRAP-03,35,4.03,141.05,2026-03-18,paid
6cb7b8f0-7075-4a13-aef9-566f7a01299c,Metro Foods UK,DRINK-04,86,1.48,127.28,2026-03-18,pending
f047fbc3-513c-49df-9db7-35e47bada7c2,GreenLeaf Supplies,SIDE-05,97,2.06,199.82,2026-03-18,paid
ee0eaa41-3ea8-41a6-928f-52e82e5549ec,FreshFarm Ltd,BURGER-01,62,5.2,322.4,2026-03-20,paid
8b607b70-97ad-4060-8b09-4385ff741c91,Metro Foods UK,PIZZA-02,72,6.71,483.12,2026-03-20,paid
b5090866-071a-490c-8929-34523e3df598,Northern Wholesale,WRAP-03,93,4.26,396.18,2026-03-20,paid
002769c6-8fc4-4869-8615-1d14d2e6975d,Metro Foods UK,DRINK-04,75,1.91,143.25,2026-03-20,paid
1b67a307-502f-4363-b499-cf2539a52c20,GreenLeaf Supplies,SIDE-05,98,1.6,156.8,2026-03-20,paid
b5a0df9d-6352-4265-a49a-a47e6599579c,FreshFarm Ltd,BURGER-01,102,6.03,615.06,2026-03-23,paid
8d08d074-e723-4efc-a19d-e9c88b180fa3,Metro Foods UK,PIZZA-02,20,7.08,141.6,2026-03-23,paid
6e1b9f2f-32bd-476a-be62-b6b76717fcdc,Northern Wholesale,WRAP-03,76,3.91,297.16,2026-03-23,paid
6b192f54-7810-4adb-8561-6afde13f8470,Metro Foods UK,DRINK-04,66,1.81,119.46,2026-03-23,paid
ae545c51-866a-483a-8171-bf0cfd4e79c8,GreenLeaf Supplies,SIDE-05,85,1.78,151.3,2026-03-23,paid
962a5a4f-ac31-424d-8cc4-618e9e260487,FreshFarm Ltd,BURGER-01,61,5.07,309.27,2026-03-25,paid
3dc097e6-18e7-4745-9bd0-b58c13d33c5d,Metro Foods UK,PIZZA-02,28,7.1,198.8,2026-03-25,pending
5fb4587c-2670-44f1-8883-2078c1015125,Northern Wholesale,WRAP-03,57,3.36,191.52,2026-03-25,paid
1d554fdf-94d0-4a3b-8ca1-524957ac318e,Metro Foods UK,DRINK-04,32,1.87,59.84,2026-03-25,paid
a1cc9254-a240-45cb-b25c-16f64a379b36,GreenLeaf Supplies,SIDE-05,87,1.67,145.29,2026-03-25,paid
298e74ef-b141-48d3-b5ed-46a66a2d7b8e,FreshFarm Ltd,BURGER-01,83,4.68,388.44,2026-03-27,paid
a5c259d7-4f34-4724-b6bd-f2ede049d9c3,Metro Foods UK,PIZZA-02,45,5.56,250.2,2026-03-27,paid
48700f86-d5f1-4f11-bd7a-5ff1257521fc,Northern Wholesale,WRAP-03,41,4.24,173.84,2026-03-27,paid
3bcf0619-a035-49b0-9ffc-58c6c6b011f6,Metro Foods UK,DRINK-04,90,1.72,154.8,2026-03-27,pending
c5904bc9-4c56-48c7-bbec-964229a701a4,GreenLeaf Supplies,SIDE-05,66,2.02,133.32,2026-03-27,paid
1913193d-bcfd-47cc-bde1-ccaa9bfb61af,FreshFarm Ltd,BURGER-01,43,5.07,218.01,2026-03-30,paid
e2a4c3ae-3c0a-46bf-92c7-42c80d3f7719,Metro Foods UK,PIZZA-02,43,5.81,249.83,2026-03-30,pending
9822876b-e406-48d1-9763-8500c7451e3e,Northern Wholesale,WRAP-03,76,3.64,276.64,2026-03-30,pending
24c3214c-c5f0-4a26-b0a8-4271d7c31444,Metro Foods UK,DRINK-04,30,1.84,55.2,2026-03-30,paid
54e6dd06-1f5f-4cc9-ae9b-11d3280c849d,GreenLeaf Supplies,SIDE-05,62,2.1,130.2,2026-03-30,paid
f47a78d7-6204-46b8-8e2d-82764d7cae4f,FreshFarm Ltd,BURGER-01,66,4.8,316.8,2026-04-01,paid
fb337dbc-ac06-48f4-839f-dd4eca3cc9d4,Metro Foods UK,PIZZA-02,90,5.77,519.3,2026-04-01,paid
9a8239b7-6052-459c-8c67-712028777397,Northern Wholesale,WRAP-03,70,3.54,247.8,2026-04-01,paid
a9ee0e05-5feb-4d50-aeb0-a4b4f3e09c5d,Metro Foods UK,DRINK-04,44,1.56,68.64,2026-04-01,overdue
b463cdd7-12ef-437e-b612-12e1f9185cde,GreenLeaf Supplies,SIDE-05,78,2.07,161.46,2026-04-01,paid
1e12ee11-ade6-4877-b615-91c7488fae78,FreshFarm Ltd,BURGER-01,27,5.99,161.73,2026-04-03,paid
8f7e2123-edad-49bf-8e67-d62b54b74e2c,Metro Foods UK,PIZZA-02,72,5.57,401.04,2026-04-03,paid
6c71a694-fab8-4fd9-b316-b8b5b11ed46c,Northern Wholesale,WRAP-03,76,4.21,319.96,2026-04-03,paid
e3df2e05-6441-4279-8e23-029f9d83ef4e,Metro Foods UK,DRINK-04,82,1.88,154.16,2026-04-03,paid
dadbe4ff-2b00-41c5-a8f7-e23e250a1f14,GreenLeaf Supplies,SIDE-05,23,2.08,47.84,2026-04-03,paid
45d71a62-b193-44ae-b16d-e497a75d95b7,FreshFarm Ltd,BURGER-01,91,5.65,514.15,2026-04-06,paid
6a68205c-1d08-4faa-847c-4e1dd411983b,Metro Foods UK,PIZZA-02,56,6.04,338.24,2026-04-06,paid
8c851c25-bbc5-4f51-a391-f83c455b07c9,Northern Wholesale,WRAP-03,98,4.34,425.32,2026-04-06,paid
2fb98536-45ae-4b1a-8eb0-519659bbe700,Metro Foods UK,DRINK-04,118,1.43,168.74,2026-04-06,paid
21cbb3a9-13a9-41a4-9054-11e6232e41c6,GreenLeaf Supplies,SIDE-05,32,1.8,57.6,2026-04-06,pending
1c7e9658-bc5f-438c-9d1c-91af174feccd,FreshFarm Ltd,BURGER-01,70,4.4,308.0,2026-04-08,paid
0b5468d7-e87f-4c0b-8093-fc8060fc27d3,Metro Foods UK,PIZZA-02,31,5.74,177.94,2026-04-08,paid
b0f1e201-91b4-4490-9438-f4c2bf3d8b13,Northern Wholesale,WRAP-03,73,4.23,308.79,2026-04-08,paid
3a2a18aa-9cfe-4ace-a0d4-182ff16ff25b,Metro Foods UK,DRINK-04,60,1.51,90.6,2026-04-08,paid
8a011e9e-e2d9-431e-817f-c0dccee017aa,GreenLeaf Supplies,SIDE-05,115,1.9,218.5,2026-04-08,overdue
65495724-7817-4958-a63c-80b2fcba430f,FreshFarm Ltd,BURGER-01,57,4.55,259.35,2026-04-10,paid
5d6e651b-2adb-43a8-aac5-36c335f545e7,Metro Foods UK,PIZZA-02,41,5.43,222.63,2026-04-10,paid
503fb3e5-73ac-41a6-85c9-159a2feb7ef5,Northern Wholesale,WRAP-03,118,4.38,516.84,2026-04-10,paid
471bfae4-f9f2-4fec-b522-f63609be6846,Metro Foods UK,DRINK-04,28,1.69,47.32,2026-04-10,paid
f6e7cb76-cda7-40ce-8505-31202db62df4,GreenLeaf Supplies,SIDE-05,64,1.75,112.0,2026-04-10,paid
4dab9860-6e41-4b9c-a7a0-3865f51881ee,FreshFarm Ltd,BURGER-01,114,5.67,646.38,2026-04-13,paid
1f3d136f-fbfe-4a85-ba27-e20e68584248,Metro Foods UK,PIZZA-02,25,6.62,165.5,2026-04-13,paid
8e19ce29-a30f-4852-8cbd-03f1fbd4391a,Northern Wholesale,WRAP-03,56,3.43,192.08,2026-04-13,paid
640bfc38-8d42-4143-aa11-4af6985e5889,Metro Foods UK,DRINK-04,109,1.8,196.2,2026-04-13,paid
4f538a49-6731-447d-a04e-df683cf0832d,GreenLeaf Supplies,SIDE-05,59,2.19,129.21,2026-04-13,paid
3467a6c1-58b2-4faf-a76f-3bdd083d0279,FreshFarm Ltd,BURGER-01,109,4.76,518.84,2026-04-15,paid
b1e9aec2-3c03-4df5-90d5-7d0004beb42e,Metro Foods UK,PIZZA-02,78,6.64,517.92,2026-04-15,paid
0aa77203-c664-4d69-ad14-ce459e2ff4ce,Northern Wholesale,WRAP-03,79,4.09,323.11,2026-04-15,paid
4a7ccef7-e67d-499e-bfd6-6782bab2ab30,Metro Foods UK,DRINK-04,104,1.58,164.32,2026-04-15,paid
ee00dcb6-fe9e-48ee-a156-098fb06186ca,GreenLeaf Supplies,SIDE-05,104,1.72,178.88,2026-04-15,paid
9abb4a45-3262-4bc1-9ab7-963240f9569d,FreshFarm Ltd,BURGER-01,108,4.59,495.72,2026-04-17,paid
93d836f8-a7e0-449a-b5e0-addcfa9ee405,Metro Foods UK,PIZZA-02,64,6.13,392.32,2026-04-17,paid
040748e8-7839-4fa1-8b0e-4e6400b32f86,Northern Wholesale,WRAP-03,70,4.18,292.6,2026-04-17,pending
e4ddf71b-44ed-443f-b68f-1f8f8cd1cd83,Metro Foods UK,DRINK-04,113,1.52,171.76,2026-04-17,paid
39776822-2ed1-4e17-ba2f-45342f9f2743,GreenLeaf Supplies,SIDE-05,59,1.68,99.12,2026-04-17,paid
4d6d1b05-6b57-4cc9-9d88-a373c14b0738,FreshFarm Ltd,BURGER-01,107,5.89,630.23,2026-04-20,paid
bad1ab0f-4459-43bc-9678-df79beb28943,Metro Foods UK,PIZZA-02,35,6.09,213.15,2026-04-20,paid
c53bb4d0-8a4b-4bd4-8140-91347fc39c63,Northern Wholesale,WRAP-03,54,3.85,207.9,2026-04-20,paid
997b9bfe-e80f-4a3b-9485-ac114b2b2971,Metro Foods UK,DRINK-04,64,1.43,91.52,2026-04-20,paid
735be508-0d6f-484d-9424-457c5cffa564,GreenLeaf Supplies,SIDE-05,49,1.63,79.87,2026-04-20,pending
d8be5c32-3e18-4dc1-a1fb-3a12173a58a4,FreshFarm Ltd,BURGER-01,110,5.86,644.6,2026-04-22,paid
59fbc287-2a33-4885-8786-526d80117f13,Metro Foods UK,PIZZA-02,25,5.97,149.25,2026-04-22,paid
bc083ea4-5616-44b4-bca0-107082d49b0a,Northern Wholesale,WRAP-03,26,4.24,110.24,2026-04-22,paid
70ac8bc0-c88a-4522-b173-c6a83e8d1352,Metro Foods UK,DRINK-04,57,1.79,102.03,2026-04-22,paid
bd4dcc69-d3f2-407a-ac97-4aaca1138792,GreenLeaf Supplies,SIDE-05,56,1.78,99.68,2026-04-22,paid
310b2bb7-d20d-48f8-87a7-04f70e161440,FreshFarm Ltd,BURGER-01,83,5.02,416.66,2026-04-24,paid
32e700b9-9e45-480b-9595-af82f41d1920,Metro Foods UK,PIZZA-02,57,5.9,336.3,2026-04-24,paid
1b5dbeb8-5702-482a-8a7a-50c92ee5a731,Northern Wholesale,WRAP-03,31,3.81,118.11,2026-04-24,paid
79102d0a-57ad-4d21-9b70-0a08268b6026,Metro Foods UK,DRINK-04,99,1.42,140.58,2026-04-24,paid
d4e5ed9e-cf01-4de5-a4c9-7cfcc777bb7e,GreenLeaf Supplies,SIDE-05,55,1.61,88.55,2026-04-24,paid
3d101c09-3890-41d1-90d3-1caf385a93cd,FreshFarm Ltd,BURGER-01,101,5.22,527.22,2026-04-27,paid
1dd27d15-6876-43ae-834f-f209ea8fefe4,Metro Foods UK,PIZZA-02,34,6.5,221.0,2026-04-27,paid
1afe208c-61b8-41de-83ec-b48ed7823d02,Northern Wholesale,WRAP-03,106,3.49,369.94,2026-04-27,paid
70adb6a5-a702-4567-b91d-2fc451916bac,Metro Foods UK,DRINK-04,43,1.83,78.69,2026-04-27,paid
36ff50d1-4a55-41ae-8ae0-33cd66a6e4b0,GreenLeaf Supplies,SIDE-05,67,1.88,125.96,2026-04-27,paid
99ae0e3f-6ea9-4194-8d82-403f13797ae5,FreshFarm Ltd,BURGER-01,60,4.75,285.0,2026-04-29,pending
cddb1467-0ee1-4331-88fb-bf707b6b38fc,Metro Foods UK,PIZZA-02,42,6.45,270.9,2026-04-29,paid
9edf57e2-c122-47f9-a0b6-1932bdd79a7b,Northern Wholesale,WRAP-03,91,3.84,349.44,2026-04-29,paid
a54b2a3e-593e-4a5f-aec7-bb1671182318,Metro Foods UK,DRINK-04,96,1.68,161.28,2026-04-29,paid
3acce5fa-f25d-4286-b0a4-a4213370b9db,GreenLeaf Supplies,SIDE-05,47,1.81,85.07,2026-04-29,paid
146ecb89-ddd6-46d6-bd78-166b194b34c5,FreshFarm Ltd,BURGER-01,117,4.42,517.14,2026-05-01,paid
d8997d52-1bf8-423c-a237-d4ecd7ce0fe9,Metro Foods UK,PIZZA-02,107,5.33,570.31,2026-05-01,pending
84d20836-7fcf-4304-8938-c4b7230f8c60,Northern Wholesale,WRAP-03,56,4.27,239.12,2026-05-01,pending
e10851ff-f4c2-4c54-9b9a-701115a86ced,Metro Foods UK,DRINK-04,98,1.74,170.52,2026-05-01,paid
a40e0bce-c293-4adc-8fd3-5b35c0367449,GreenLeaf Supplies,SIDE-05,95,2.18,207.1,2026-05-01,paid
02d653c7-fdee-44db-ad08-26ef387d8db3,FreshFarm Ltd,BURGER-01,74,5.59,413.66,2026-05-04,paid
5f52b2ef-030e-4b49-9963-4b082d0255ab,Metro Foods UK,PIZZA-02,80,6.95,556.0,2026-05-04,paid
1b11519d-3ee2-442d-a0dd-10cbf4b957b0,Northern Wholesale,WRAP-03,42,3.8,159.6,2026-05-04,pending
a80a2c2c-96cf-4298-800b-2c49257b165b,Metro Foods UK,DRINK-04,30,1.74,52.2,2026-05-04,paid
4ef10fe3-618c-4921-8bb1-0ef9e29f9032,GreenLeaf Supplies,SIDE-05,68,1.84,125.12,2026-05-04,overdue
b9a28d3b-76b8-4c1a-a06a-cb2af315fe3d,FreshFarm Ltd,BURGER-01,80,4.8,384.0,2026-05-06,paid
3eca0e76-2ee8-4aac-b907-a3b1020768bf,Metro Foods UK,PIZZA-02,105,6.23,654.15,2026-05-06,paid
cc32fdde-df6e-422a-85b6-1c6963f3aab7,Northern Wholesale,WRAP-03,61,4.22,257.42,2026-05-06,paid
5eace639-987c-404f-9ca1-f82abfe069e6,Metro Foods UK,DRINK-04,63,1.8,113.4,2026-05-06,paid
06e91da7-ea83-47e5-855e-b073574b880f,GreenLeaf Supplies,SIDE-05,72,1.79,128.88,2026-05-06,pending
85bf3510-5ea7-4edf-969b-eb08f18fa285,FreshFarm Ltd,BURGER-01,21,5.7,119.7,2026-05-08,pending
cb80ddc1-52b3-4339-b7aa-de19f3b529b3,Metro Foods UK,PIZZA-02,96,6.95,667.2,2026-05-08,paid
749e55a2-81ee-4f8c-bfbf-df49105924a9,Northern Wholesale,WRAP-03,111,3.26,361.86,2026-05-08,paid
2e74c650-15c7-4b11-a5b2-38a03d61a3c0,Metro Foods UK,DRINK-04,91,1.78,161.98,2026-05-08,paid
754487e9-d120-4d41-9d50-49d6618503f5,GreenLeaf Supplies,SIDE-05,88,2.19,192.72,2026-05-08,paid
b1f27720-aa16-4fe5-9855-db361362f80f,FreshFarm Ltd,BURGER-01,26,5.11,132.86,2026-05-11,paid
78f2a781-fd2f-4897-a8f7-b8a0fefeb7de,Metro Foods UK,PIZZA-02,111,6.36,705.96,2026-05-11,paid
b113222d-672a-40f5-b905-bb439d3e44e7,Northern Wholesale,WRAP-03,30,3.71,111.3,2026-05-11,overdue
1a527394-6634-423a-b5fb-dfbac9f61915,Metro Foods UK,DRINK-04,115,1.82,209.3,2026-05-11,paid
8f3198f8-3a54-4412-a966-e2ca20168c6d,GreenLeaf Supplies,SIDE-05,86,1.64,141.04,2026-05-11,paid
cb2b39d0-bc62-4e50-9b3c-6c6937a1dd9c,FreshFarm Ltd,BURGER-01,72,4.57,329.04,2026-05-13,paid
01b7a425-5a8e-4fb7-b4b6-b801f77e42bd,Metro Foods UK,PIZZA-02,53,5.65,299.45,2026-05-13,paid
a7b73c1f-8448-4ac1-af28-5d4402f8ca6b,Northern Wholesale,WRAP-03,29,3.62,104.98,2026-05-13,paid
a46a6187-482d-45bf-b8e7-f515b1ddc1ae,Metro Foods UK,DRINK-04,60,1.46,87.6,2026-05-13,paid
c9a097dc-fca2-4a36-83be-835c71d88d6f,GreenLeaf Supplies,SIDE-05,68,1.88,127.84,2026-05-13,pending
234ec184-3e1c-4cbb-9f27-dc21e58630ed,FreshFarm Ltd,BURGER-01,45,4.63,208.35,2026-05-15,paid
348fe59e-fabd-4f47-825c-263addfd7106,Metro Foods UK,PIZZA-02,44,5.63,247.72,2026-05-15,pending
58cc667d-3a66-4499-a0db-f4cae9e67c1b,Northern Wholesale,WRAP-03,80,3.43,274.4,2026-05-15,paid
4ce43026-75f6-439e-878f-70bc1b30a140,Metro Foods UK,DRINK-04,94,1.53,143.82,2026-05-15,paid
6169c00d-13b3-4d54-9305-2948cae2eb28,GreenLeaf Supplies,SIDE-05,75,1.9,142.5,2026-05-15,paid
